Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
10,16,Kamui Kobayashi,Sauber-Ferrari,58,+78.0 secs,24,1,2011,Turkey,4
11,6,Felipe Massa,Ferrari,58,+79.8 secs,10,0,2011,Turkey,4
12,7,Michael Schumacher,Mercedes,58,+85.4 secs,8,0,2011,Turkey,4
13,14,Adrian Sutil,Force India-Mercedes,57,+1 Lap,12,0,2011,Turkey,4
14,17,Sergio Perez,Sauber-Ferrari,57,+1 Lap,15,0,2011,Turkey,4
15,11,Rubens Barrichello,Williams-Cosworth,57,+1 Lap,11,0,2011,Turkey,4
16,19,Jaime Alguersuari,STR-Ferrari,57,+1 Lap,17,0,2011,Turkey,4
17,12,Pastor Maldonado,Williams-Cosworth,57,+1 Lap,14,0,2011,Turkey,4
18,21,Jarno Trulli,Lotus-Renault,57,+1 Lap,19,0,2011,Turkey,4
19,20,Heikki Kovalainen,Lotus-Renault,56,+2 Laps,18,0,2011,Turkey,4
20,25,Jerome D'Ambrosio,Virgin-Cosworth,56,+2 Laps,23,0,2011,Turkey,4
21,22,Narain Karthikeyan,HRT-Cosworth,55,+3 Laps,22,0,2011,Turkey,4
22,23,Vitantonio Liuzzi,HRT-Cosworth,53,+5 Laps,20,0,2011,Turkey,4
DNS,24,Timo Glock,Virgin-Cosworth,0,Gearbox,21,0,2011,Turkey,4
Ret,15,Paul di Resta,Force India-Mercedes,44,Retired,13,0,2011,Turkey,4
1,1,Sebastian Vettel,Red Bull Racing-Renault,78,2:09:38.373,1,25,2011,Monaco,6
2,5,Fernando Alonso,Ferrari,78,+1.1 secs,4,18,2011,Monaco,6
3,4,Jenson Button,McLaren-Mercedes,78,+2.3 secs,2,15,2011,Monaco,6
4,2,Mark Webber,Red Bull Racing-Renault,78,+23.1 secs,3,12,2011,Monaco,6
5,16,Kamui Kobayashi,Sauber-Ferrari,78,+26.9 secs,12,10,2011,Monaco,6
6,3,Lewis Hamilton,McLaren-Mercedes,78,+47.2 secs,9,8,2011,Monaco,6
7,14,Adrian Sutil,Force India-Mercedes,77,+1 Lap,14,6,2011,Monaco,6
8,9,Nick Heidfeld,Renault,77,+1 Lap,15,4,2011,Monaco,6
9,11,Rubens Barrichello,Williams-Cosworth,77,+1 Lap,11,2,2011,Monaco,6
10,18,Sebastien Buemi,STR-Ferrari,77,+1 Lap,16,1,2011,Monaco,6
11,8,Nico Rosberg,Mercedes,76,+2 Laps,7,0,2011,Monaco,6
12,15,Paul di Resta,Force India-Mercedes,76,+2 Laps,13,0,2011,Monaco,6
13,21,Jarno Trulli,Lotus-Renault,76,+2 Laps,18,0,2011,Monaco,6
14,20,Heikki Kovalainen,Lotus-Renault,76,+2 Laps,17,0,2011,Monaco,6
15,25,Jerome D'Ambrosio,Virgin-Cosworth,75,+3 Laps,21,0,2011,Monaco,6
16,23,Vitantonio Liuzzi,HRT-Cosworth,75,+3 Laps,23,0,2011,Monaco,6
17,22,Narain Karthikeyan,HRT-Cosworth,74,+4 Laps,22,0,2011,Monaco,6
18,12,Pastor Maldonado,Williams-Cosworth,73,Accident,8,0,2011,Monaco,6
DNS,17,Sergio Perez,Sauber-Ferrari,,,,0,2011,Monaco,6
Ret,10,Vitaly Petrov,Renault,67,Accident,10,0,2011,Monaco,6
Ret,19,Jaime Alguersuari,STR-Ferrari,66,Accident,19,0,2011,Monaco,6
Ret,6,Felipe Massa,Ferrari,32,Accident,6,0,2011,Monaco,6
Ret,7,Michael Schumacher,Mercedes,32,Airbox fire,5,0,2011,Monaco,6
Ret,24,Timo Glock,Virgin-Cosworth,30,Suspension,20,0,2011,Monaco,6
1,4,Jenson Button,McLaren-Mercedes,70,4:04:39.537,7,25,2011,Canada,7
2,1,Sebastian Vettel,Red Bull Racing-Renault,70,+2.7 secs,1,18,2011,Canada,7
3,2,Mark Webber,Red Bull Racing-Renault,70,+13.8 secs,4,15,2011,Canada,7
4,7,Michael Schumacher,Mercedes,70,+14.2 secs,8,12,2011,Canada,7
5,10,Vitaly Petrov,Renault,70,+20.3 secs,10,10,2011,Canada,7
6,6,Felipe Massa,Ferrari,70,+33.2 secs,3,8,2011,Canada,7
7,16,Kamui Kobayashi,Sauber-Ferrari,70,+33.2 secs,13,6,2011,Canada,7
8,19,Jaime Alguersuari,STR-Ferrari,70,+35.9 secs,24,4,2011,Canada,7
9,11,Rubens Barrichello,Williams-Cosworth,70,+45.1 secs,16,2,2011,Canada,7
10,18,Sebastien Buemi,STR-Ferrari,70,+47.0 secs,15,1,2011,Canada,7
11,8,Nico Rosberg,Mercedes,70,+50.4 secs,6,0,2011,Canada,7
12,17,Pedro de la Rosa,Sauber-Ferrari,70,+63.6 secs,17,0,2011,Canada,7
13,23,Vitantonio Liuzzi,HRT-Cosworth,69,+1 Lap,20,0,2011,Canada,7
14,25,Jerome D'Ambrosio,Virgin-Cosworth,69,+1 Lap,23,0,2011,Canada,7
15,24,Timo Glock,Virgin-Cosworth,69,+1 Lap,21,0,2011,Canada,7
16,21,Jarno Trulli,Lotus-Renault,69,+1 Lap,18,0,2011,Canada,7
17,22,Narain Karthikeyan,HRT-Cosworth,69,+1 Lap,22,0,2011,Canada,7
18,15,Paul di Resta,Force India-Mercedes,67,Accident,11,0,2011,Canada,7
Ret,12,Pastor Maldonado,Williams-Cosworth,61,Spun off,12,0,2011,Canada,7
